 Daily rainfall at station dr066101        1889      25
   1889    1    1       .00
   1889    1    2       .00
   1889    1    3       .00
   1889    1    4       .00
   1889    1    5       .00
   1889    1    6       .00
   1889    1    7       .00
   1889    1    8       .00
   1889    1    9       .00
   1889    1   10       .00
   1889    1   11       .00
   1889    1   12       .00
   1889    1   13       .00
   1889    1   14       .00
   1889    1   15       .80
   1889    1   16       .00
   1889    1   17      1.30
   1889    1   18       .80
   1889    1   19       .30
   1889    1   20       .00
   1889    1   21      2.50
   1889    1   22       .00
   1889    1   23       .00
   1889    1   24       .00
   1889    1   25      4.10
   1889    1   26       .00
   1889    1   27      1.50
   1889    1   28      3.00
   1889    1   29      2.00
   1889    1   30     11.40
   1889    1   31      1.00
   1889    2    1      2.80
   1889    2    2       .30
   1889    2    3       .00
   1889    2    4       .00
   1889    2    5      4.60
   1889    2    6       .00
   1889    2    7       .00
   1889    2    8     25.40
   1889    2    9      6.60
   1889    2   10       .00
   1889    2   11       .00
   1889    2   12       .00
   1889    2   13       .00
   1889    2   14       .00
   1889    2   15       .00
   1889    2   16       .00
   1889    2   17       .00
   1889    2   18       .00
   1889    2   19       .00
   1889    2   20       .30
   1889    2   21       .00
   1889    2   22       .00
   1889    2   23      1.00
   1889    2   24       .00
   1889    2   25       .00
   1889    2   26       .00
   1889    2   27       .00
   1889    2   28       .00
   1889    3    1      1.30
   1889    3    2      1.80
   1889    3    3       .50
   1889    3    4       .00
   1889    3    5       .00
   1889    3    6       .00
   1889    3    7       .00
   1889    3    8       .00
   1889    3    9       .00
   1889    3   10      6.10
   1889    3   11       .00
   1889    3   12       .00
   1889    3   13       .00
   1889    3   14       .00
   1889    3   15       .00
   1889    3   16       .00
   1889    3   17       .00
   1889    3   18       .00
   1889    3   19       .00
   1889    3   20      1.50
   1889    3   21      2.30
   1889    3   22       .00
   1889    3   23       .00
   1889    3   24      8.90
   1889    3   25       .00
   1889    3   26       .00
   1889    3   27       .30
   1889    3   28      3.00
   1889    3   29       .00
   1889    3   30      3.60
   1889    3   31      9.10
   1889    4    1     17.80
   1889    4    2     10.20
   1889    4    3       .30
